embed_modality,fmri_modality,layer,condition,n_subjects,mean_normalized_r,sem,mean_r,p_value,q_value
text,image,0,text_to_image,8,0.03537343121409492,0.010477264445314275,0.02527679747364489,9.999000099990002e-05,0.00012901935612890324
text,image,1,text_to_image,8,0.03795219501174809,0.011578463247532724,0.026992071471695762,9.999000099990002e-05,0.00012901935612890324
text,image,2,text_to_image,8,0.04066632158929205,0.010166140797788421,0.02852791107690335,9.999000099990002e-05,0.00012901935612890324
text,image,3,text_to_image,8,0.039741958313987816,0.010469215503699609,0.028010883597967422,9.999000099990002e-05,0.00012901935612890324
text,image,4,text_to_image,8,0.04278809388881754,0.011560482089602149,0.030229914498011164,9.999000099990002e-05,0.00012901935612890324
text,image,5,text_to_image,8,0.04166760099743081,0.011115215549464118,0.029353390888083537,9.999000099990002e-05,0.00012901935612890324
text,image,6,text_to_image,8,0.043358366546074584,0.011096022333564496,0.030682377410728726,9.999000099990002e-05,0.00012901935612890324
text,image,7,text_to_image,8,0.04205741716958375,0.010347489456779931,0.03002818775449985,9.999000099990002e-05,0.00012901935612890324
text,image,8,text_to_image,8,0.043944149936778164,0.011556807791410204,0.031134977488560915,9.999000099990002e-05,0.00012901935612890324
text,image,9,text_to_image,8,0.04660042604369495,0.011928312864921587,0.03307046440863488,9.999000099990002e-05,0.00012901935612890324
text,image,10,text_to_image,8,0.045307397887466336,0.012326644032025654,0.03226456408577285,9.999000099990002e-05,0.00012901935612890324
text,image,11,text_to_image,8,0.04375555544673544,0.012305585740456072,0.03142653376162916,9.999000099990002e-05,0.00012901935612890324
text,image,12,text_to_image,8,0.045967596964869795,0.012572372750473501,0.03276580869515864,9.999000099990002e-05,0.00012901935612890324
text,image,13,text_to_image,8,0.043973166887775576,0.012022465656668924,0.03135462121676076,9.999000099990002e-05,0.00012901935612890324
text,image,14,text_to_image,8,0.04286072386383427,0.011175882825166985,0.03048266271040829,9.999000099990002e-05,0.00012901935612890324
text,image,15,text_to_image,8,0.040219423621112,0.010923935565299641,0.028687105125173112,9.999000099990002e-05,0.00012901935612890324
text,image,16,text_to_image,8,0.039808738168245844,0.010266457156919484,0.02838333773065705,9.999000099990002e-05,0.00012901935612890324
text,image,17,text_to_image,8,0.040939698533010466,0.010542566283499578,0.029180460948287315,9.999000099990002e-05,0.00012901935612890324
text,image,18,text_to_image,8,0.0405704041801775,0.00954600530252311,0.0287067330953644,9.999000099990002e-05,0.00012901935612890324
text,image,19,text_to_image,8,0.04084768918347465,0.009886408621738072,0.028947777773104137,9.999000099990002e-05,0.00012901935612890324
text,image,20,text_to_image,8,0.04260181217755025,0.010443638057047152,0.03006983822832211,9.999000099990002e-05,0.00012901935612890324
text,image,21,text_to_image,8,0.04165809940857024,0.010275116471087371,0.029476906917925174,9.999000099990002e-05,0.00012901935612890324
text,image,22,text_to_image,8,0.039334367531683026,0.010613961581310696,0.027968932997554513,9.999000099990002e-05,0.00012901935612890324
